Active,SB26056041,1600000,,1969,1929,9134,03/03/2026 12:00:00 AM,,,21
Active,OC26046198,1800000,,1960,1893,10146,03/09/2026 12:00:00 AM,,,28
Active,PV25254593,1887000,,1971,2115,9764,11/05/2025 12:00:00 AM,,,152
Active,SB25042936,1999999,,1998,4017,9887,02/26/2025 12:00:00 AM,,,404
Active,SB26043408,2298000,,1962,2487,12075,02/27/2026 12:00:00 AM,,,35
Active,SB26033352,2399000,,1998,4001,8479,02/13/2026 12:00:00 AM,,,50
Active,SB26063141,2499000,,1970,3309,12222,03/26/2026 12:00:00 AM,,,11
Active,SB26040913,2499000,,1990,4741,8121,02/26/2026 12:00:00 AM,,,38
Active,26636723,3050000,,1965,2547,12132,01/14/2026 12:00:00 AM,,,82
Active,SB25194384,13999999,,2019,7634,27878,08/27/2025 12:00:00 AM,,,220
Active,SB25229708,1200000,,1950,2000,33742,10/01/2025 12:00:00 AM,,,187
Active,PV26005928,1765000,,1987,2447,4436,02/19/2026 12:00:00 AM,,,45
Active,26666145,1795000,,1954,1631,9124,03/29/2026 12:00:00 AM,,,8
Active,PV26019307,1800000,,1979,2846,1584,02/02/2026 12:00:00 AM,,,63
Active,PV26057653,1850000,,1965,2000,15457,03/10/2026 12:00:00 AM,,,13
Active,PV26067246,2050000,,1963,1922,13040,03/24/2026 12:00:00 AM,,,4
Active,PV26029010,2395000,,2000,2837,11693,03/18/2026 12:00:00 AM,,,19
Active,PV26062675,3450000,,1998,3470,17510,03/23/2026 12:00:00 AM,,,14
Active,PV26052679,5600000,,1989,4983,16467,02/01/2026 12:00:00 AM,,,27
Active,219140207DA,5990000,,1984,4960,14211,12/18/2025 12:00:00 AM,,,108
Active,PV26071976,7950000,,2025,4978,16679,04/03/2026 12:00:00 AM,,,2
Active,PV25171152,7998888,,2019,6149,19368,07/30/2025 12:00:00 AM,,,250
Active,TR25260659,8880000,,2005,6208,12669,11/19/2025 12:00:00 AM,,,138
Active,SB26051384,2025000,,1970,2779,10262,03/09/2026 12:00:00 AM,,,28
Active,PV26034542,2680000,,1961,2510,10287,02/09/2026 12:00:00 AM,,,39
Active,WS25184322,8800000,,2001,8313,41384,08/15/2025 12:00:00 AM,,,234
Active,PV26024119,8950000,,1998,7300,55111,02/09/2026 12:00:00 AM,,,56
Active,WS26055278,13260000,,1997,12279,48696,03/13/2026 12:00:00 AM,,,24
Active,SB25028567,17692312,,2007,7969,32105,02/21/2025 12:00:00 AM,,,409
Active,SB24238352,2600000,,1978,3257,20116,11/19/2024 12:00:00 AM,,,501
Active,SB26038559,2950000,,1970,3487,20673,02/02/2025 12:00:00 AM,,,21
Active,PV26018119,2990000,,1979,4173,14785,10/21/2025 12:00:00 AM,,,60
Active,PV26004756,2990000,,1989,3956,21732,01/08/2026 12:00:00 AM,,,86
Active,PV25281801,3150000,,1962,2915,24727,01/02/2026 12:00:00 AM,,,94
Active,P1-26203,3498000,,1984,3428,35117,03/11/2026 12:00:00 AM,,,26
Active,PV26062453,3998000,,1965,3547,18024,03/23/2026 12:00:00 AM,,,14
