"","Listing ID","S","Sub Type","St#","St Name","City","Area","SLC","L/C Price","Price Per Square Foot","Br/Ba","Sqft","Yr Built","LSqft/Ac","DAM/CDAM","V","PP","BAC","Contract Status Change Date","MLS"
"1","PV24228059","S","SFR/D","7284","Berry Hill DR  ","RPV","170","STD,TRUS","$1,910,000","$1,090.18","3/2,0,0,0","1752/A","1961/ASR","9,982/0.2292","8/8","Y","N","","12/23/24","CRMLSM"
"1","SB25185817","S","SFR/D","7228","Berry Hill DR  ","RPV","170","STD","$1,925,000","$824.76","3/2,0,0,0","2334/A","1961/ASR","12,549/0.2881","16/16","Y","N","","10/15/25","CRMLSM"
"1","PV25061781","S","SFR/D","30205","Via Borica   ","RPV","170","STD","$1,940,000","$705.71","5/3,0,0,0","2749/A","1966/ASR","6,851/0.1573","47/47","Y","N","","06/06/25","CRMLSM"
"1","SB24078907","S","SFR/D","7251","Rue La Fleur   ","RPV","170","STD","$1,950,000","$890.41","4/3,0,0,0","2190/A","1969/ASR","12,741/0.2925","10/10","Y","N","2.5%","05/31/24","CRMLSM"
"1","PV25178424","S","SFR/D","30440","Via Victoria   ","RPV","170","STD","$1,950,000","$694.44","4/2,0,1,0","2808/A","1970/ASR","9,802/0.225","37/37","Y","N","","10/28/25","CRMLSM"
"1","PV24051100","S","SFR/D","30036","Via Borica   ","RPV","170","STD","$1,960,000","$698.01","4/2,0,1,0","2808/A","1970/ASR","17,767/0.4079","10/10","Y","N","2.5%","05/13/24","CRMLSM"
"1","SB25176772","S","SFR/D","30605","Rue De La Pierre   ","RPV","170","TRUS","$2,110,000","$1,021.79","4/2,0,1,0","2065/A","1962/PUB","15,340/0.3522","38/38","Y","N","","12/27/25","CRMLSM"
"1","SB24197053","S","SFR/D","30637","Rue Valois   ","RPV","170","STD","$2,135,000","$1,034.40","4/1,1,1,0","2064/A","1960/ASR","11,675/0.268","26/26","Y","N","","12/03/24","CRMLSM"
"1","SR25044867","S","SFR/D","30024","Via Rivera   ","RPV","170","STD","$2,200,000","$814.51","5/3,0,0,0","2701/A","1969/ASR","9,757/0.224","7/7","Y","N","","04/02/25","CRMLSM"
"1","PV25159930","S","SFR/D","7292","Berry Hill DR  ","RPV","170","STD","$2,229,000","$1,141.91","3/2,1,0,0","1952/A","1961/ASR","9,532/0.2188","31/31","Y","N","","09/12/25","CRMLSM"
"1","PV24059168","S","SFR/D","7250","Berry Hill Dr DR  ","RPV","170","STD","$2,270,000","$1,149.95","4/0,2,1,0","1974/A","1961/ASR","11,622/0.2668","97/97","Y","N","2%","08/22/24","CRMLSM"
"1","PV23169168","S","SFR/D","30332","Via Borica   ","RPV","170","TRUS","$2,300,000","$790.11","4/3,0,0,0","2911/A","1970/ASR","11,259/0.2585","86/86","Y","N","2.5%","01/05/24","CRMLSM"
"1","PV25256344","S","SFR/D","30031","Via Borica   ","RPV","170","STD","$2,315,313","$727.17","5/1,2,0,0","3184/A","1966/ASR","10,040/0.2305","14/14","Y","N","","01/13/26","CRMLSM"
"1","SR24211535","S","SFR/D","30551","Rue Langlois   ","RPV","170","STD","$2,319,500","$1,123.79","4/1,1,0,0","2064/A","1960/ASR","15,097/0.3466","8/8","Y","N","","02/18/25","CRMLSM"
"1","26633285","S","SFR/D","30247","Via Borica   ","RPV","170","STD","$2,323,000","$729.59","5/3,0,0,0","3184/","1966","6,854/0.1573","28/28","Y","","","02/20/26","CLAW"
"1","PV23144978","S","SFR/D","30816","Rue De La Pierre   ","RPV","170","STD","$2,330,000","$640.11","5/4,0,1,0","3640/A","1973/SEE","10,096/0.2318","105/105","Y","N","2.5%","12/12/23","CRMLSM"
"1","PV23176394","S","SFR/D","30127","Via Borica   ","RPV","170","STD","$2,350,000","$897.63","5/3,0,0,0","2618/A","1970/ASR","10,421/0.2392","6/6","Y","Y","2.5%","11/03/23","CRMLSM"
"1","SB25097239","S","SFR/D","7233","Rue La Fleur   ","RPV","170","STD,TRUS","$2,400,000","$857.14","5/3,0,0,0","2800/E","1969/ASR","10,527/0.2417","27/27","Y","Y","","07/05/25","CRMLSM"
"1","SB25131270","S","SFR/D","30141","Via Borica   ","RPV","170","STD","$2,420,000","$760.05","5/3,0,0,0","3184/A","1966/ASR","10,359/0.2378","11/11","Y","N","","10/10/25","CRMLSM"
"1","PV25170466","S","SFR/D","30433","Via Rivera   ","RPV","170","STD","$2,420,000","$894.31","4/1,1,1,0","2706/A","1970/ASR","9,508/0.2183","6/6","Y","Y","","09/15/25","CRMLSM"
"1","WS25087279","S","SFR/D","30036","Via Borica   ","RPV","170","STD","$2,434,310","$866.92","4/3,0,0,0","2808/A","1970/ASR","17,771/0.408","50/178","Y","N","","07/15/25","CRMLSM"
"1","WS24031416","S","SFR/D","7405","Via Lorado   ","RPV","170","STD","$2,500,000","$1,250.00","4/3,0,1,0","2000/E","1962/ASR","10,508/0.2412","7/7","Y","N","2.5%","03/20/24","CRMLSM"
"1","PV24034766","S","SFR/D","7300","Via Marie Celeste   ","RPV","170","STD","$2,538,000","$1,138.12","3/2,0,1,0","2230/A","1962/ASR","19,752/0.4534","9/9","Y","N","2.5%","03/29/24","CRMLSM"
"1","PV25063615","S","SFR/D","30611","Rue Langlois   ","RPV","170","TRUS","$2,600,000","$935.25","4/2,0,1,0","2780/A","1959/ASR","13,412/0.3079","11/11","Y","N","","04/22/25","CRMLSM"
"1","PV25215415","S","SFR/D","7460","Alida PL  ","RPV","170","STD","$2,730,000","$550.51","6/5,0,1,0","4959/A","1999/ASR","10,457/0.2401","14/167","Y","N","","10/10/25","CRMLSM"
"1","PV23129774","S","SFR/D","30167","Via Borica   ","RPV","170","STD","$2,900,000","$1,222.60","4/3,0,0,0","2372/A","1966/ASR","7,225/0.1659","9/9","Y","Y","2.5%","10/02/23","CRMLSM"
"1","PV25052357","S","SFR/D","7372","Via Lorado   ","RPV","170","STD","$2,940,000","$1,287.78","3/1,2,0,0","2283/A","2017/OTH","10,835/0.2487","76/76","Y","N","","07/02/25","CRMLSM"
"1","WS25105912","S","SFR/D","30946","Rue De La Pierre   ","RPV","170","STD","$3,100,000","$1,140.96","5/3,0,0,0","2717/A","1969/PUB","34,349/0.7885","11/11","Y","Y","","07/25/25","CRMLSM"
"1","SB23093403","S","SFR/D","7372","Via Lorado   ","RPV","170","STD","$3,122,000","$1,367.50","3/1,2,0,0","2283/A","1962/ASR","10,832/0.2487","3/3","Y","N","2.5%","07/17/23","CRMLSM"
"1","25483447","S","SFR/D","93","Laurel DR  ","RPV","170","STD","$4,470,000","$834.27","5/5,0,0,0","5358/AP","1991","20,402/0.4684","181/181","Y","","","08/07/25","CLAW"
"1","PV24103999","S","SFR/D","52","Pacifica Del Mar   ","RPV","170","STD","$4,710,000","$1,090.28","4/5,0,0,0","4320/A","2003/ASR","25,942/0.5955","112/112","Y","Y","","10/29/24","CRMLSM"
"1","PV25206493","S","SFR/D","20","Via Del Cielo   ","RPV","170","STD","$5,120,000","$728.20","4/6,0,0,0","7031/A","2000/ASR","25,195/0.5784","5/114","Y","N","","10/01/25","CRMLSM"
"1","SB24064058","S","SFR/D","15","Calle Viento   ","RPV","170","STD","$5,350,000","$1,093.85","4/3,0,0,0","4891/A","2004/ASR","25,560/0.5868","31/31","Y","N","2.5%","07/18/24","CRMLSM"
"1","PV23169836","S","SFR/D","31","Via Del Cielo   ","RPV","170","STD","$6,100,000","$1,015.31","4/3,1,2,0","6008/A","2005/ASR","23,788/0.5461","0/0","Y","N","2%","10/11/23","CRMLSM"
"1","PV25226648","S","SFR/D","67","Paseo Del La Luz   ","RPV","170","STD","$6,300,000","$787.50","5/1,4,2,0","8000/D","2015/ASR","24,378/0.5596","23/23","Y","Y","","12/04/25","CRMLSM"
"1","PV23097902","S","SFR/D","53","Marguerite DR  ","RPV","170","TRUS","$8,750,000","$1,086.28","7/8,0,1,0","8055/T","1991/ASR","43,891/1.0076","64/64","Y","Y","2.5%","10/16/23","CRMLSM"
"1","SB25266623","S","SFR/D","30545","Rhone DR  ","RPV","171","STD","$1,807,000","$760.52","3/3,0,0,0","2376/A","1963/ASR","16,450/0.3776","9/9","Y","N","","01/08/26","CRMLSM"
"1","SB24230615","S","SFR/D","30564","Camino Porvenir   ","RPV","171","TRUS","$1,850,000","$711.54","4/2,1,0,0","2600/A","1974/ASR","9,405/0.2159","19/19","N","N","","02/25/25","CRMLSM"
"1","P1-18791","S","SFR/D","6802","Verde Ridge RD  ","RPV","171","STD","$1,900,000","$756.07","5/2,1,0,0","2513/A","1973/ASR","6,901/0.1584","36/36","Y","N","","09/20/24","CRMLSF"
"1","WS25193461","S","SFR/D","7080","Via Del Mar   ","RPV","171","STD","$1,925,000","$662.42","4/4,0,0,0","2906/A","1987/ASR","5,390/0.1237","79/79","Y","N","","12/18/25","CRMLSM"
"1","SB25062659","S","SFR/D","6445","Sattes DR  ","RPV","171","STD","$1,950,000","$723.03","4/1,1,1,0","2697/A","1970/ASR","15,011/0.3446","5/5","N","Y","","05/22/25","CRMLSM"
"1","25489123","S","SFR","6461","Chartres DR  ","RPV","171","PRO","$1,970,000","$518.97","4/4,0,0,0","3796/","1989","15,299/0.3512","91/91","Y","N","","04/25/25","CLAW"
"1","PV24239954","S","SFR/D","30135","Avenida Celestial   ","RPV","171","STD","$1,975,000","$495.24","4/3,0,0,0","3988/A","1988/ASR","10,973/0.2519","148/148","Y","Y","","05/28/25","CRMLSM"
"1","OC25150174","S","SFR/D","30212","Calle De Suenos   ","RPV","171","STD","$1,990,000","$759.54","4/3,0,0,0","2620/A","1971/PUB","13,769/0.3161","1/1","N","N","","07/23/25","CRMLSM"
"1","24394261","S","SFR","30438","Calle La Resolana   ","RPV","171","STD","$2,000,000","$694.44","4/3,0,0,0","2880/A","1973/ASR","26,717/0.6133","64/64","Y","N","2.500%","07/23/24","CLAW"
"1","SB24040965","S","SFR/A","30721","Via La Cresta   ","RPV","171","STD,TRUS","$2,000,000","$613.50","5/3,0,0,0","3260/A","1968/ASR","15,093/0.3465","8/8","Y","Y","2.5%*","05/28/24","CRMLSM"
"1","PV24068650","S","SFR/D","6543","Sattes DR  ","RPV","171","STD","$2,020,000","$744.84","5/3,0,0,0","2712/A","1972/ASR","15,223/0.3495","6/6","Y","N","2.5%","05/06/24","CRMLSM"
"1","PV22104694","S","SFR/D","6707","Alta Vista DR  ","RPV","171","STD","$2,050,000","$571.67","4/4,0,0,0","3586/A","1986/ASR","19,660/0.4513","251/251","Y","N","2.5%","12/01/23","CRMLSM"
"1","OC25116041","S","SFR/D","30243","Avenida Selecta   ","RPV","171","STD","$2,060,000","$715.03","4/3,0,0,0","2881/A","1976/ASR","12,949/0.2973","63/63","Y","Y","","10/10/25","CRMLSM"
"1","SB23188131","S","SFR/D","30150","Avenida Esplendida   ","RPV","171","TRUS","$2,085,000","$627.26","4/3,0,1,0","3324/A","1987/ASR","10,288/0.2362","49/49","N","N","2.5%","12/29/23","CRMLSM"
"1","PV24022689","S","SFR/D","6805","Faircove Drive   ","RPV","171","TRUS","$2,150,000","$852.84","4/1,2,0,0","2521/A","1967/ASR","7,714/0.1771","5/5","Y","N","","09/04/24","CRMLSM"
"1","PV23173225","S","SFR/D","30428","Camino Porvenir   ","RPV","171","STD","$2,150,000","$612.71","6/4,0,0,0","3509/A","1973/ASR","8,056/0.1849","18/18","Y","Y","2.5%","11/06/23","CRMLSM"
"1","SB23181847","S","SFR/D","30707","Cartier DR  ","RPV","171","STD","$2,175,000","$565.08","4/4,0,0,0","3849/A","1994/ASR","17,254/0.3961","3/3","Y","Y","2.5%","02/09/24","CRMLSM"
"1","PV25044439","S","SFR/D","30226","Avenida de Calma   ","RPV","171","TRUS","$2,200,000","$656.72","5/3,0,0,0","3350/A","1971/ASR","8,683/0.1993","20/20","Y","N","","04/18/25","CRMLSM"
"1","SB24092838","S","SFR/D","30165","Avenida Celestial   ","RPV","171","STD","$2,220,000","$820.40","3/3,0,0,0","2706/P","1984/PUB","10,234/0.2349","3/3","Y","N","2%","06/14/24","CRMLSM"
"1","PW25083180","S","SFR/D","30626","Via La Cresta   ","RPV","171","STD","$2,225,000","$818.01","4/3,0,0,0","2720/A","1968/PUB","10,350/0.2376","3/3","Y","N","","05/30/25","CRMLSM"
"1","SB26006813","S","SFR/D","6821","Vallon DR  ","RPV","171","STD,TRUS","$2,250,000","$690.18","5/1,2,0,0","3260/P","1968/PUB","9,574/0.2198","8/8","Y","Y","","03/23/26","CRMLSM"
"1","PV23168494","S","SFR/D","6338","Sattes DR  ","RPV","171","STD","$2,250,000","$1,054.36","3/2,0,1,0","2134/A","1975/ASR","15,859/0.3641","8/8","Y","N","2.5%","01/26/24","CRMLSM"
"1","SB25096542","S","SFR/D","30214","Cartier DR  ","RPV","171","TRUS","$2,300,000","$957.14","4/1,1,1,0","2403/A","1961/ASR","15,140/0.3476","15/15","Y","Y","","07/10/25","CRMLSM"
"1","SB23043946","S","SFR/D","6556","Sattes DR  ","RPV","171","TRUS","$2,320,000","$1,079.57","3/3,0,0,0","2149/A","1976/PUB","15,367/0.3528","64/64","Y","N","2.5%","09/20/23","CRMLSM"
"1","PV23136581","S","SFR/D","30203","Rhone DR  ","RPV","171","STD","$2,350,000","$692.81","4/3,0,0,0","3392/A","1964/ASR","15,242/0.3499","148/148","Y","N","2.5%","05/09/24","CRMLSM"
"1","PV24056825","S","SFR/D","6636","Locklenna LN  ","RPV","171","STD","$2,350,000","$817.39","4/3,0,0,0","2875/A","1966/ASR","9,706/0.2228","10/10","Y","N","2.5%","05/31/24","CRMLSM"
"1","25505459","S","SFR","30963","Via La Cresta   ","RPV","171","STD","$2,370,000","$672.34","4/4,0,0,0","3525/","1987","5,905/0.1356","128/128","Y","N","","07/07/25","CLAW"
"1","PV25196462","S","SFR/D","30182","Cartier DR  ","RPV","171","STD","$2,385,000","$568.94","4/4,0,0,0","4192/A","1976/ASR","16,889/0.3877","14/14","Y","N","","10/28/25","CRMLSM"
"1","PV25216917","S","SFR/D","6790","Vallon DR  ","RPV","171","STD,TRUS","$2,400,000","$805.37","4/2,0,1,0","2980/A","1968/ASR","15,265/0.3504","6/6","Y","N","","10/16/25","CRMLSM"
"1","SB25116881","S","SFR/D","30435","Camino Porvenir   ","RPV","171","STD","$2,400,000","$819.67","5/2,1,0,0","2928/A","1972/ASR","11,711/0.2688","9/9","Y","N","","09/25/25","CRMLSM"
"1","SB24149843","S","SFR/D","6947","Alta Vista DR  ","RPV","171","TRUS","$2,400,000","$614.75","5/2,2,1,0","3904/A","1982/ASR","21,184/0.4863","202/202","N","N","","03/13/25","CRMLSM"
"1","SB24128809","S","SFR/D","29413","Seaspray DR  ","RPV","171","STD","$2,458,000","$828.17","4/3,0,0,0","2968/A","1966/PUB","14,962/0.3435","8/8","Y","Y","2%","07/18/24","CRMLSM"
"1","PV23125434","S","SFR/D","6330","Sattes DR  ","RPV","171","STD","$2,460,000","$853.87","5/2,2,0,0","2881/A","1976/ASR","15,266/0.3505","22/22","N","Y","2.5%","09/18/23","CRMLSM"
"1","25498791","S","SFR","6847","Crest RD  ","RPV","171","STD","$2,480,000","$757.25","4/3,0,1,0","3275/","1964","14,829/0.3404","41/41","Y","","","03/28/25","CLAW"
"1","SB24042365","S","SFR/D","30140","Avenida Esplendida   ","RPV","171","STD","$2,500,000","$752.11","4/4,0,0,0","3324/A","1987/PUB","10,152/0.2331","6/6","Y","Y","2.5%","04/05/24","CRMLSM"
"1","SB24102422","S","SFR/D","30526","Rhone DR  ","RPV","171","STD","$2,500,000","$636.13","5/4,0,1,0","3930/AP","1978/ASR","14,984/0.344","66/66","Y","N","2.5%","08/28/24","CRMLSM"
"1","OC24173225","S","SFR/D","30234","Avenida De Calma   ","RPV","171","STD,TRUS","$2,519,815","$661.72","5/2,1,0,0","3808/A","1971/ASR","9,841/0.2259","50/50","Y","Y","","12/11/24","CRMLSM"
"1","PV25180441","S","SFR/D","31423","Marne DR  ","RPV","171","TRUS","$2,548,000","$1,014.33","3/2,0,0,0","2512/A","1966/ASR","23,573/0.5412","7/7","Y","N","","09/03/25","CRMLSM"
"1","PV24227404","S","SFR/D","30256","Avenida Selecta   ","RPV","171","STD","$2,650,000","$916.96","4/3,0,0,0","2890/A","1976/ASR","15,423/0.3541","25/25","N","N","","12/22/24","CRMLSM"
"1","SB24194368","S ","SFR/D","30137","Avenida De Calma   ","RPV","171","STD","$2,650,000","$1,012.61","4/2,0,1,0","2617/A","1965/ASR","11,881/0.2728","40/40","Y","N","","01/15/25","CRMLSM"
"1","DW24102975","S","SFR/D","31107","Marne DR  ","RPV","171","PRO,CONS","$2,650,000","$643.99","4/5,0,0,0","4115/A","1961/ASR","15,156/0.3479","21/21","Y","Y","","09/16/24","CRMLSM"
"1","SB25260656","S","SFR/D","6330","Sattes   ","RPV","171","STD","$2,655,000","$921.56","5/2,2,0,0","2881/A","1976/ASR","15,269/0.3505","14/14","N","Y","","12/31/25","CRMLSM"
"1","PV25125111","S","SFR/D","30353","Avenida De Calma   ","RPV","171","STD","$2,660,000","$922.97","4/3,0,0,0","2882/A","1972/PUB","13,309/0.3055","13/13","Y","N","","07/30/25","CRMLSM"
"1","PV25136161","S","SFR/D","6883","Crest RD  ","RPV","171","STD","$2,667,050","$828.28","6/2,2,1,0","3220/O","1968/ASR","27,688/0.6356","43/43","Y","N","","09/11/25","CRMLSM"
"1","PV24094304","S","SFR/D","30240","Calle De Suenos   ","RPV","171","STD","$2,695,000","$786.86","5/2,1,0,0","3425/A","1971/ASR","14,027/0.322","128/128","Y","Y","","10/02/24","CRMLSM"
"1","PV25177063","S","SFR/D","30204","Calle de Suenos   ","RPV","171","TRUS","$2,750,000","$832.58","5/3,0,0,0","3303/A","1971/ASR","12,655/0.2905","6/6","Y","N","","09/12/25","CRMLSM"
"1","WS24094489","S","SFR/D","7229","Crest RD  ","RPV","171","STD","$2,750,000","$945.67","3/3,0,0,0","2908/A","1971/APP","22,748/0.5222","161/161","Y","Y","","11/22/24","CRMLSM"
"1","CV25010421","S","SFR/D","6510","Lebec PL  ","RPV","171","STD","$2,770,000","$738.47","4/2,1,1,0","3751/A","1966/ASR","19,214/0.4411","96/96","Y","N","","05/16/25","CRMLSM"
"1","PV26012945","S","SFR/D","30105","Avenida Esplendida   ","RPV","171","STD","$2,780,000","$941.10","5/2,1,0,0","2954/A","1967/PUB","13,993/0.3212","0/0","Y","Y","","02/24/26","CRMLSM"
"1","SB23157346","S","SFR/D","6862","Vallon DR  ","RPV","171","STD","$2,795,000","$937.92","4/2,1,0,0","2980/A","1968/ASR","9,175/0.2106","36/36","Y","N","2.5%","12/20/23","CRMLSM"
"1","PV25084713","S","SFR/D","6944","Crest Rd.   ","RPV","171","STD","$2,799,000","$1,076.54","4/3,0,0,0","2600/D","1965/PUB","17,023/0.3908","10/10","N","Y","","06/02/25","CRMLSM"
"1","PV23091359","S","SFR/D","6931","Vallon Dr.   ","RPV","171","STD","$2,800,000","$989.40","4/1,2,0,0","2830/A","1968/ASR","13,623/0.3127","8/8","Y","N","2.5%","07/13/23","CRMLSM"
"1","PV25279066","S","SFR/D","30175","Avenida Tranquila   ","RPV","171","STD","$2,800,000","$809.25","5/2,0,1,0","3460/A","1966/ASR","13,475/0.3093","11/11","Y","Y","","03/17/26","CRMLSM"
"1","SB23116107","S","SFR/D","6853","Vallon DR  ","RPV","171","STD","$2,830,000","$815.56","5/1,3,0,0","3470/A","1968/ASR","9,453/0.217","110/110","N","Y","2.5%","11/07/23","CRMLSM"
"1","SR24078022","S","SFR/D","30804","Via La Cresta   ","RPV","171","STD,TRUS","$2,865,000","$1,053.31","4/3,0,0,0","2720/A","1968/ASR","17,771/0.408","25/25","Y","Y","2.5%","06/18/24","CRMLSM"
"1","LG25230409","S","SFR/D","30135","Avenida Celestial   ","RPV","171","STD","$2,880,000","$722.17","6/3,0,0,0","3988/P","1988/ASR","10,973/0.2519","26/26","Y","Y","","11/24/25","CRMLSM"
"1","PV24239930","S","SFR/D","6884","Crest RD  ","RPV","171","STD","$2,980,000","$794.24","5/1,2,0,0","3752/A","1966/ASR","17,563/0.4032","5/80","Y","N","","12/23/24","CRMLSM"
"1","PV24161870","S","SFR/D","6707","Alta Vista DR  ","RPV","171","STD","$2,995,000","$835.19","4/2,1,1,0","3586/A","1986/ASR","19,666/0.4515","11/11","Y","N","","10/04/24","CRMLSM"
"1","PV24144663","S","SFR/D","30125","Avenida Classica   ","RPV","171","STD","$3,000,000","$911.85","4/4,0,0,0","3290/A","1976/ASR","16,211/0.3722","9/9","Y","N","2.5%","08/23/24","CRMLSM"
"1","PV25199985","S","SFR/D","7088","Crest Rd   ","RPV","171","TRUS","$3,033,400","$827.22","4/2,1,1,0","3667/A","1969/ASR","19,014/0.4365","7/7","N","Y","","10/10/25","CRMLSM"
"1","SB26022049","S","SFR/D","6977","Alta Vista   ","RPV","171","STD","$3,050,000","$726.71","5/3,0,0,0","4197/A","1985/ASR","20,688/0.4749","19/19","Y","N","","03/13/26","CRMLSM"
"1","PV24117648","S","SFR/D","6820","Verde Ridge RD  ","RPV","171","STD","$3,100,000","$1,275.20","3/2,1,0,0","2431/A","1973/ASR","7,488/0.1719","30/71","Y","N","","08/26/24","CRMLSM"
"1","PV24153526","S","SFR/D","6890","Vallon DR  ","RPV","171","STD","$3,150,000","$1,000.64","4/3,0,0,0","3148/P","1968/ASR","10,229/0.2348","12/12","Y","Y","2.5%","08/28/24","CRMLSM"
"1","PV25136201","S","SFR/D","7241","Avenida Altisima   ","RPV","171","STD","$3,235,600","$1,096.44","4/2,0,1,0","2951/A","1969/ASR","46,461/1.0666","10/10","Y","Y","","07/30/25","CRMLSM"
"1","PV24044303","S","SFR/D","7163","Crest RD  ","RPV","171","STD","$3,265,000","$1,067.34","3/3,0,0,0","3059/A","1965/ASR","12,532/0.2877","9/9","Y","Y","2.5%","04/10/24","CRMLSM"
"1","PV24099481","S","SFR/D","7183","Avenida Altisima   ","RPV","171","STD","$3,290,000","$917.97","5/1,3,1,0","3584/A","1973/ASR","22,385/0.5139","11/11","Y","Y","2.5%","07/05/24","CRMLSM"
"1","SB23187392","S","SFR/D","6432","Le Blanc PL  ","RPV","171","STD,TRUS","$3,329,000","$1,120.12","4/3,0,0,0","2972/A","1974/ASR","15,314/0.3516","6/6","Y","Y","2.5%","11/13/23","CRMLSM"
"1","PV24161077","S","SFR/D","30153","Matisse DR  ","RPV","171","STD","$3,450,000","$801.95","4/2,2,0,0","4302/A","1987/ASR","15,147/0.3477","75/75","Y","N","","11/08/24","CRMLSM"
"1","PV25165642","S","SFR/D","6717","Alta Vista DR  ","RPV","171","STD","$3,675,000","$893.07","5/5,0,0,0","4115/A","1989/PUB","20,894/0.4797","45/45","Y","N","","10/03/25","CRMLSM"
"1","PV25102755","S","SFR/D","30843","Cartier Dr.   ","RPV","171","STD","$3,750,000","$682.44","6/5,0,1,0","5495/D","1962/PUB","15,089/0.3464","36/36","Y","Y","","07/28/25","CRMLSM"
"1","PV24185372","S","SFR/D","30666","Calle De Suenos   ","RPV","171","STD","$4,450,000","$858.24","5/3,1,1,0","5185/A","1983/ASR","25,361/0.5822","34/34","Y","Y","","12/20/24","CRMLSM"
"1","SB25018261","S","SFR/D","30221","Matisse DR  ","RPV","171","STD","$4,600,000","$1,107.90","5/4,0,1,0","4152/A","1982/ASR","15,184/0.3486","352/352","Y","N","","02/11/26","CRMLSM"
"1","PV25197670","S","SFR/D","6888","Alta Vista DR  ","RPV","171","STD","$4,650,000","$656.41","8/5,3,0,0","7084/D","2025/BLD","20,002/0.4592","33/125","Y","Y","","10/17/25","CRMLSM"
"1","SB24165326","S","SFR/D","6454","Le Blanc PL  ","RPV","171","STD","$5,200,000","$936.77","5/5,0,2,0","5551/A","2002/ASR","16,031/0.368","133/133","Y","N","","01/31/25","CRMLSM"
"1","PV23158436","S","SFR/D","19","Pepper Tree LN  ","RHE","172","STD","$1,625,000","$654.71","3/3,0,1,0","2482/A","2002/ASR","229,401/5.2663","57/57","Y","N","2.5%","10/30/23","CRMLSM"
