"","Listing ID","S","Sub Type","St#","St Name","City","Area","SLC","L/C Price","Price Per Square Foot","Br/Ba","Sqft","Yr Built","LSqft/Ac","DAM/CDAM","V","PP","BAC","Contract Status Change Date","MLS"
"1","PV23097162","S","SFR/D","3770","Coolheights DR  ","RPV","168","TRUS","$2,450,000","$951.09","4/3,0,0,0","2576/T","1970/ASR","14,105/0.3238","6/6","Y","N","2.5%","07/18/23","CRMLSM"
"1","SB26009416","S","SFR/D","3550","Coolheights   ","RPV","168","STD","$2,450,000","$740.40","4/3,0,0,0","3309/A","1970/PUB","12,222/0.2806","11/11","Y","N","","02/10/26","CRMLSM"
"1","PV25000992","S","SFR/D","30817","Ganado DR  ","RPV","168","STD,TRUS","$2,455,000","$759.12","4/1,1,1,0","3234/A","1967/ASR","21,659/0.4972","11/11","Y","N","","03/11/25","CRMLSM"
"1","PV25090852","S","SFR/D","30414","Ganado DR  ","RPV","168","STD","$2,500,000","$1,334.04","3/3,0,0,0","1874/A","1964/ASR","13,246/0.3041","88/88","Y","N","","08/19/25","CRMLSM"
"1","SB24087237","S","SFR/D","2","Avenida De Camelia   ","RPV","168","STD","$2,600,000","$658.56","5/3,0,1,0","3948/P","1990/PUB","9,143/0.2099","13/13","Y","Y","2.5%","07/10/24","CRMLSM"
"1","PW25005026","S","SFR/D","3442","Coolheights DR  ","RPV","168","STD","$2,820,000","$1,114.62","3/4,0,1,0","2530/A","1969/ASR","9,628/0.221","41/68","Y","N","","05/06/25","CRMLSM"
"1","PV25113913","S","SFR/D","3504","Hightide DR  ","RPV","168","STD","$2,850,000","$1,138.18","4/3,0,0,0","2504/A","1971/ASR","13,721/0.315","15/15","Y","Y","","07/10/25","CRMLSM"
"1","PV23141355","S","SFR/D","4373","Dauntless DR  ","RPV","169","STD","$585,000","$276.73","3/3,0,0,0","2114/A","1976/ASR","23,524/0.54","65/65","Y","Y","2.5%","11/17/23","CRMLSM"
"1","SB24017747","S","SFR/D","16","Cinnamon LN  ","RPV","169","STD","$800,000","$401.20","4/2,0,0,0","1994/T","1953/PUB","51,986/1.1934","130/130","Y","N","2.5%","07/19/24","CRMLSM"
"1","24420231","S","SFR","4394","Dauntless DR  ","RPV","169","STD","$825,000","$447.64","3/3,0,0,0","1843/","1956","13,131/0.3014","47/47","N","","","09/26/24","CLAW"
"1","24465111","S","SFR/D","33","Sweetbay RD  ","RPV","169","PRO","$873,500","$412.03","3/1,0,1,0","2120/A","1951/ASR","34,029/0.7812","134/134","N","N","","04/16/25","CLAW"
"1","PV25162675","S","SFR/D","4331","Dauntless DR  ","RPV","169","PRO","$900,000","$451.81","3/2,0,0,0","1992/A","1960/ASR","12,187/0.2798","39/39","Y","N","","09/29/25","CRMLSM"
"1","PV23221084","S","SFR/D","80","Narcissa DR  ","RPV","169","TRUS","$1,018,888","$526.01","3/1,2,0,0","1937/A","1956/ASR","36,914/0.8474","3/3","Y","N","2.5%","01/08/24","CRMLSM"
"1","SB25025856","S","SFR/D","32322","Conqueror DR  ","RPV","169","TRUS","$1,225,000","$667.94","3/2,0,1,0","1834/A","1960/PUB","12,318/0.2828","125/125","Y","N","","08/19/25","CRMLSM"
"1","PV24151565","S","SFR/D","85","Vanderlip DR  ","RPV","169","STD","$1,250,000","$309.41","5/5,0,0,0","4040/A","1931/ASR","49,466/1.1356","279/279","Y","N","","06/30/25","CRMLSM"
"1","PV24181567","S","SFR/D","32215","Schooner DR  ","RPV","169","TRUS","$1,296,363","$500.72","4/1,1,1,0","2589/A","1960/ASR","15,184/0.3486","290/290","Y","N","","07/16/25","CRMLSM"
"1","PV23216106","S","SFR/D","11","Cinnamon LN  ","RPV","169","STD","$1,310,000","$714.29","3/2,0,0,0","1834/A","1950/ASR","29,470/0.6765","138/138","Y","N","2.5%","05/08/24","CRMLSM"
"1","PV24198638","S","SFR/D","4132","Stalwart DR  ","RPV","169","STD,TRUS","$1,315,000","$725.72","3/2,0,1,0","1812/A","1960/ASR","12,021/0.276","26/26","Y","N","","12/11/24","CRMLSM"
"1","SR25173771","S","SFR/D","3905","Palos Verdes DR  S","RPV","169","TRUS","$1,335,000","$727.92","2/3,0,0,0","1834/A","1959/ASR","10,067/0.2311","34/34","Y","N","","10/02/25","CRMLSM"
"1","PV25236240","S","SFR/A","32541","Coastsite   ","RPV","169","STD","$1,370,000","$671.57","3/3,0,0,0","2040/A","1979/ASR","2,899/0.0666","26/67","Y","N","","12/19/25","CRMLSM"
"1","SR24169247","S","SFR/A","6404","Sealpoint CT  ","RPV","169","TRUS","$1,400,000","$565.89","3/3,0,0,0","2474/A","1988/ASR","3,857/0.0885","39/83","Y","N","","11/27/24","CRMLSM"
"1","DW24120954","S","SFR/D","8","Clipper RD  ","RPV","169","STD,TRUS","$1,475,000","$528.48","5/2,0,1,0","2791/A","1960/PUB","11,202/0.2572","29/29","Y","N","","09/18/24","CRMLSM"
"1","SB24161577","S","SFR/D","3938","Exultant DR  ","RPV","169","TRUS","$1,500,000","$640.20","4/3,0,0,0","2343/A","1959/ASR","10,191/0.234","122/122","Y","N","","01/27/25","CRMLSM"
"1","SB23103220","S","SFR/D","14","LIMETREE LN  ","RPV","169","STD","$1,518,000","$632.50","4/2,0,0,0","2400/AP","1950/APP","40,808/0.9368","12/12","Y","N","2%","07/27/23","CRMLSM"
"1","SB25080554","S","SFR/D","32268","Phantom DR  ","RPV","169","TRUS","$1,545,000","$729.81","4/1,1,0,0","2117/A","1963/ASR","12,971/0.2978","7/7","Y","N","","05/28/25","CRMLSM"
"1","PV24011750","S","SFR/D","4005","Exultant DR  ","RPV","169","TRUS","$1,550,000","$770.76","3/3,0,0,0","2011/A","1960/ASR","11,899/0.2732","117/117","Y","Y","2.5%","06/17/24","CRMLSM"
"1","PV26035718","S","SFR/D","4012","Stalwart DR  ","RPV","169","STD","$1,560,000","$812.08","4/2,0,1,0","1921/A","1960/ASR","12,127/0.2784","8/8","Y","N","","04/03/26","CRMLSM"
"1","PW24164943","S","SFR/D","3719","Vigilance DR  ","RPV","169","STD","$1,580,000","$677.82","3/2,0,1,0","2331/A","1965/PUB","15,558/0.3572","43/43","Y","N","","10/15/24","CRMLSM"
"1","PV23083415","S","SFR/D","6347","Tarragon RD  ","RPV","169","TRUS","$1,599,000","$724.84","5/1,1,1,0","2206/A","1964/ASR","14,960/0.3434","7/7","Y","N","2.5%","07/31/23","CRMLSM"
"1","PV24145592","S","SFR/D","3913","Admirable DR  ","RPV","169","STD","$1,600,000","$875.27","3/1,1,1,0","1828/A","1959/PUB","10,741/0.2466","40/40","Y","N","","10/18/24","CRMLSM"
"1","PV25055979","S","SFR/D","4181","Maritime RD  ","RPV","169","STD","$1,600,000","$680.27","2/2,0,0,0","2352/A","1964/ASR","7,452/0.1711","155/155","Y","N","","09/17/25","CRMLSM"
"1","PV24114549","S","SFR/D","53","Narcissa Drive   ","RPV","169","STD","$1,675,000","$465.92","4/3,0,1,0","3595/P","2013/PUB","24,267/0.5571","38/38","Y","N","","09/27/24","CRMLSM"
