"","Major Change Timestamp","Chg Type","","Listing ID","S","Sub Type","St#","St Name","City","Area","SLC","L/C Price","Br/Ba","Yr Built","Sqft","Lot Size Square Feet","DAM/CDAM","MLS"
"1","03/07/25","Closed","P-S","PV25014299","S","SFR/D","2010 S","Moray AVE  ","SP","179","TRUS","$1,405,000","4/1,1,1,0","1967/ASR","2249/A","6,410","22/22","CRMLSM"
"1","11/06/24","Closed","P-S","SB24181515","S","SFR/D","3400","Mulldae AVE  ","SP","179","STD","$1,406,250","3/2,0,0,0","1960/ASR","1854/A","11,681","23/23","CRMLSM"
"1","10/02/24","Active UC","P-S","24407933","S","SFR","2227","Baleria DR  ","SP","179","STD","$1,407,000","4/2,1,0,0","1964","2547/","6,200","37/37","CLAW"
"1","01/22/25","Closed","P-S","SB24223204","S","SFR/D","1915","Palacios Dr   ","SP","179","TRUS","$1,425,000","3/1,1,1,0","1961/PUB","2170/P","7,285","17/17","CRMLSM"
"1","06/12/24","Closed","P-S","SR24090624","S","SFR/D","2175","Baleria DR  ","SP","179","STD","$1,425,000","4/2,0,0,0","1961/ASR","1920/A","6,148","13/13","CRMLSM"
"1","03/19/24","Closed","P-S","SB24022450","S","SFR/D","3007 S","Anchovy AVE  ","SP","179","STD","$1,430,000","3/1,1,0,0","1964/ASR","1776/A","9,714","24/24","CRMLSM"
"1","07/12/24","Closed","P-S","PV24092877","S","SFR/D","3601","Gurnard AVE  ","SP","179","TRUS","$1,475,000","4/1,1,1,0","1971/PUB","2072/A","11,972","36/36","CRMLSM"
"1","02/28/25","Closed","P-S","OC25013178","S","SFR/D","1818","Marina DR  ","SP","179","STD","$1,500,000","4/2,1,0,0","1962/ASR","2665/S","6,269","11/11","CRMLSM"
"1","01/28/26","Closed","P-S","AR25272944","S","SFR/D","2145","Mcrae DR  ","SP","179","STD","$1,500,000","3/0,3,1,0","1961/ASR","1910/A","6,747","36/273","CRMLSM"
"1","08/01/23","Closed","P-S","SB23090356","S","SFR/D","2152","Grandeur DR  ","SP","179","STD","$1,500,000","3/2,0,1,0","1962/ASR","2085/S","8,516","42/42","CRMLSM"
"1","11/30/23","Closed","P-S","PF23122834","S","SFR/D","3514","Mulldae AVE  ","SP","179","TRUS","$1,510,000","2/1,1,0,0","1964/ASR","1884/A","10,995","16/16","CRMLSM"
"1","09/04/24","Closed","P-S","PV24089541","S","SFR/D","2209 W","34th ST  ","SP","179","STD","$1,511,250","4/1,1,1,0","1957/ASR","2157/SEE","8,546","38/38","CRMLSM"
"1","07/18/23","Closed","P-S","PV23099072","S","SFR/D","3431 S","Anchovy AVE  ","SP","179","STD","$1,539,000","3/2,0,1,0","1961/ASR","1666/A","7,102","8/8","CRMLSM"
"1","05/08/25","Closed","P-S","SB25047788","S","SFR/D","1627 W","22nd ST  ","SP","179","STD","$1,557,800","3/2,0,0,0","1955/ASR","1695/A","5,933","4/4","CRMLSM"
"1","11/24/23","Closed","P-S","SB23166413","S","SFR/D","2225","Wanderer DR  ","SP","179","STD","$1,585,000","4/4,0,0,0","1968/ASR","2339/A","13,277","31/31","CRMLSM"
"1","06/29/24","Closed","P-S","PV24107605","S","SFR/D","2746","Graysby Ave.   ","SP","179","STD","$1,599,000","4/2,0,0,0","1957/PUB","2145/P","11,707","7/7","CRMLSM"
"1","02/27/26","Closed","P-S","SB26011546","S","SFR/D","2007","Marina PL  ","SP","179","TRUS","$1,600,000","3/2,1,0,0","1959/ASR","1968/S","9,153","8/8","CRMLSM"
"1","04/05/25","Closed","U-S","SB25055171","S","SFR/D","2021","Mantis AVE  ","SP","179","STD","$1,600,000","3/2,0,2,0","1957/PUB","2824/A","8,726","1/1","CRMLSM"
"1","04/12/24","Closed","U-S","PV23196250","S","SFR/D","2304 W","Paseo Del Mar   ","SP","179","STD","$1,600,000","3/2,0,0,0","1965/ASR","2098/A","8,914","137/137","CRMLSM"
"1","02/10/24","Closed","P-S","SB24006391","S","SFR/D","2161","Grandeur DR  ","SP","179","TRUS","$1,610,000","4/2,0,0,0","1962/PUB","2297/A","9,969","6/6","CRMLSM"
"1","05/15/24","Closed","P-S","PV24019481","S","SFR/D","1711","Pescadores AVE  ","SP","179","TRUS","$1,625,000","3/2,0,2,0","1957/PUB","2827/AP","8,406","10/10","CRMLSM"
"1","06/27/24","Closed","P-S","PW24090842","S","SFR/D","3512","Spearing AVE  ","SP","179","STD","$1,650,000","3/2,0,2,0","1975/ASR","2475/A","7,844","9/9","CRMLSM"
"1","04/26/25","Closed","P-S","SB25003801","S","SFR/D","1609 W","22nd ST  ","SP","179","STD","$1,650,000","3/1,1,0,0","1955/PUB","1730/E","6,148","27/27","CRMLSM"
"1","04/17/25","Closed","P-S","PV25042156","S","SFR/D","2169","Baleria DR  ","SP","179","STD","$1,725,000","3/2,0,0,0","1961/ASR","1952/A","5,998","8/8","CRMLSM"
"1","","Closed","U-S","25504435","S","SFR/D","3533","Mulldae AVE  ","SP","179","STD","$1,750,000","5/3,0,0,0","1958","3498/","11,488","62/62","CLAW"
"1","10/31/25","Closed","P-S","SB25011572","S","SFR/D","2251","Grenadier DR  ","SP","179","STD,TRUS","$1,754,200","4/1,2,1,0","1991/ASR","2634/AP","11,903","168/168","CRMLSM"
"1","03/05/24","Closed","P-S","PW24012863","S","SFR/D","1915 W","35th ST  ","SP","179","STD","$1,760,000","3/2,0,0,0","1957/ASR","2017/A","6,689","8/8","CRMLSM"
"1","06/24/25","Closed","P-S","SB25055773","S","SFR/D","1700","Mantis AVE  ","SP","179","STD","$1,774,000","4/3,0,0,0","1967/ASR","4175/A","9,572","37/37","CRMLSM"
"1","07/29/23","Closed","P-S","PV23088307","S","SFR/D","2025 W","35th ST  ","SP","179","STD","$1,800,000","4/2,1,0,0","1960/ASR","2135/A","8,313","38/38","CRMLSM"
"1","07/16/24","Closed","P-S","SB24027459","S","SFR/D","1820","Mantis AVE  ","SP","179","STD,TRUS","$1,840,000","4/3,0,1,0","1993/ASR","3655/A","6,822","95/95","CRMLSM"
"1","","Closed","P-S","24447823","S","SFR","2258 W","Paseo Del Mar   ","SP","179","STD","$1,849,000","4/3,0,1,0","1959","2259/","7,200","18/18","CLAW"
"1","12/03/25","Closed","P-S","NDP2509263","S","SFR/D","1749","Vallecito DR  ","SP","179","TRUS","$1,675,000","4/3,0,0,0","1959","2612/P","10,019","54/54","CRMLSP"
"1","09/29/23","Closed","P-S","SB23147723","S","SFR/D","2317 W","37th ST  ","SP","179","STD","$1,915,000","4/2,0,1,0","1957/ASR","2000/E","15,112","15/15","CRMLSM"
"1","05/29/25","Closed","P-S","PW25048844","S","SFR/D","2313 W","37th ST  ","SP","179","STD","$1,983,250","3/2,0,0,0","1961/ASR","2216/O","711,683,280","16/16","CRMLSM"
