"","Major Change Timestamp","Chg Type","","Listing ID","S","Sub Type","St#","St Name","City","Area","SLC","L/C Price","Br/Ba","Yr Built","Sqft","Lot Size Square Feet","DAM/CDAM","MLS"
"1","09/04/25","Closed","P-S","OC25083235","S","SFR/D","5202","Middlecrest RD  ","RPV","172","STD","$1,625,000","4/3,0,0,0","1964/ASR","2792/A","24,026","52/52","CRMLSM"
"1","08/11/25","Closed","P-S","SB25155408","S","SFR/D","8","Coveview DR  ","RPV","172","STD,TRUS","$1,765,000","5/3,0,0,0","1962/PUB","2349/A","19,900","8/8","CRMLSM"
"1","01/17/24","Closed","P-S","SB23223960","S","SFR/D","9","Pepper Tree LN  ","RHE","172","STD","$1,780,000","3/2,1,0,0","2002/ASR","2546/A","229,448","4/4","CRMLSM"
"1","04/25/24","Closed","P-S","SB24033193","S","SFR/D","5205","Middlecrest RD  ","RPV","172","STD,TRUS","$1,800,000","3/2,0,0,0","1959/ASR","2504/A","20,614","20/20","CRMLSM"
"1","12/26/23","Closed","P-S","PV23190272","S","SFR/D","38","Hillcrest Meadows   ","RHE","172","TRUS","$1,800,000","3/1,1,1,0","1991/PUB","2329/A","479,561","24/24","CRMLSM"
"1","10/03/23","Closed","U-S","OC23164317","S","SFR/D","17","Hillcrest Meadows    #36","RHE","172","TRUS","$1,865,000","3/3,0,0,0","1991/ASR","2346/A","479,561","6/6","CRMLSM"
"1","01/05/25","Closed","U-S","PV24189023","S","SFR/D","28626","Crestridge RD  ","RPV","172","STD","$1,875,000","4/2,1,0,0","1959/ASR","1650/O","20,534","33/33","CRMLSM"
"1","06/29/24","Closed","P-S","TR24091475","S","SFR/D","28747","Crestridge RD  ","RPV","172","STD","$1,910,000","3/2,0,1,0","1959/PUB","2176/A","21,443","18/18","CRMLSM"
"1","","Closed","U-S","24381993","S","SFR","5353","Middlecrest RD  ","RPV","172","STD","$1,950,000","5/4,0,0,0","1958","2762/","21,952","116/116","CLAW"
"1","08/05/24","Closed","P-S","SB24091593","S","SFR/D","28752","Crestridge RD  ","RPV","172","STD","$2,000,000","4/1,1,1,0","1962/ASR","2266/A","21,544","39/39","CRMLSM"
"1","08/22/25","Closed","P-S","PV25164106","S","SFR/D","3","Via La Rocca   ","RPV","172","STD,TRUS","$2,268,000","4/3,0,1,0","1990/ASR","3480/A","13,868","8/8","CRMLSM"
"1","06/26/25","Closed","P-S","SB25010783","S","SFR/D","8","Burrell LN  ","RPV","172","STD","$2,300,000","4/3,0,0,0","1984/ASR","3428/A","35,117","122/122","CRMLSM"
