"","Major Change Timestamp","Chg Type","","Listing ID","S","Sub Type","St#","St Name","City","Area","SLC","L/C Price","Br/Ba","Yr Built","Sqft","Lot Size Square Feet","DAM/CDAM","MLS"
"1","02/09/26","New","","SB26030038","A","SFR/D","43","Oceanaire DR  ","RPV","172","STD","$4,299,000","4/4,0,1,0","1962/PUB","4992/B","47,716","56/56","CRMLSM"
"1","04/03/26","New","","SB26072441","A","SFR/D","27945","Alvarez   ","RPV","173","STD,TRUS","$1,479,000","3/2,0,0,0","1962/ASR","1434/A","16,971","3/3","CRMLSM"
"1","04/04/26","New","","SB26062972","A","SFR/D","28031","Acana RD  ","RPV","173","STD","$1,700,000","4/2,0,0,0","1962/ASR","1816/A","7,403","2/2","CRMLSM"
"1","03/23/26","New","","PV26063053","A","SFR/D","28068","Santona DR  ","RPV","173","STD,TRUS","$1,950,000","5/1,2,0,0","1962/ASR","2539/A","34,323","14/14","CRMLSM"
"1","","","","25612693","A","SFR/D","28049","Lobrook DR  ","RPV","173","STD","$2,795,000","4/1,2,2,0","1970/ASR","3788/A","11,272","158/158","CLAW"
"1","02/16/26","New","","SB26031485","A","SFR/D","28060","Santona DR  ","RPV","173","TRUS","$2,799,000","4/2,2,1,0","2017/ASR","3312/A","16,873","49/49","CRMLSM"
"1","03/26/26","New","","SB26065235","A","SFR/D","28627","Covecrest   ","RPV","174","STD","$2,395,000","5/3,0,1,0","1968/ASR","3031/A","7,930","11/11","CRMLSM"
"1","03/23/26","New","","SB26060959","A","SFR/D","26704","Hawkhurst DR  ","RPV","175","STD","$1,959,000","4/3,0,0,0","1967/ASR","2237/A","8,344","14/14","CRMLSM"
"1","03/30/26","Price Chg","$2,045K-&gt$2,020K","SB26011526","A","SFR/D","27659","Flaming Arrow DR  ","RPV","175","STD","$2,020,000","4/3,0,0,0","1966/ASR","2276/A","7,774","73/73","CRMLSM"
"1","03/26/26","New","","PV26064390","A","SFR/D","26700","Indian Peak Rd   ","RPV","176","STD","$1,788,000","3/0,2,0,0","1957/ASR","1662/A","7,516","11/80","CRMLSM"
"1","04/02/26","Price Chg","$2,250K-&gt$2,150K","SB26048599","A","SFR/D","26621","Basswood   ","RPV","176","STD","$2,150,000","4/3,0,0,0","1957/ASR","1935/A","13,139","32/32","CRMLSM"
"1","04/02/26","New","","SB26068552","A","SFR/D","29016 S","Highmore   ","RPV","177","STD,TRUS","$895,000","2/1,0,0,0","1950/ASR","1173/A","5,508","4/4","CRMLSM"
"1","03/25/26","New","","PV26053020","A","SFR/D","29214 S","Bayend   ","RPV","177","STD","$1,199,000","3/2,0,0,0","1969/ASR","1713/A","13,700","12/12","CRMLSM"
