Canceled,SB25104797,3888888,,1959,3054,105758,05/10/2025 12:00:00 AM,,,60
Canceled,25499419,4495000,,1966,3626,99924,02/18/2025 12:00:00 AM,,,49
Canceled,PV24187438,4578000,,1952,3677,49853,09/09/2024 12:00:00 AM,,,323
Canceled,PV25154137,4695000,,2020,3439,50598,07/10/2025 12:00:00 AM,,,18
Canceled,PV24144681,4995000,,2020,3439,50598,07/15/2024 12:00:00 AM,,,103
Canceled,PV24078019,5295000,,2020,3439,50598,04/20/2024 12:00:00 AM,,,86
Canceled,SB25034747,5300000,,1971,5110,69292,04/25/2025 12:00:00 AM,,,144
Canceled,PV25047785,5399000,,1960,4805,64219,04/25/2025 12:00:00 AM,,,92
Canceled,24373021,5495000,,1950,0,44272,03/27/2024 12:00:00 AM,,,226
Canceled,24401663,6992000,,1956,6300,61654,06/07/2024 12:00:00 AM,,,49
Canceled,24453363,7250000,,1985,11686,114608,10/15/2024 12:00:00 AM,,,57
Canceled,PV22223736,7350000,,1981,6732,87612,10/16/2022 12:00:00 AM,,,289
Canceled,24403715,7495000,,1985,11686,114608,06/13/2024 12:00:00 AM,,,124
Canceled,SB25000590,7499000,,1963,5000,85956,01/01/2025 12:00:00 AM,,,48
Canceled,23327895,7995000,,1985,11686,114608,11/07/2023 12:00:00 AM,,,219
Canceled,PV23059384,8000000,,1974,4488,103193.64,04/06/2023 12:00:00 AM,,,87
Canceled,PV25243012,13800000,,1971,7123,239120,10/20/2025 12:00:00 AM,,,99
Canceled,26636859,950000,,2026,4686,19948,01/12/2026 12:00:00 AM,,,2
Canceled,SB24226758,1595000,,1954,1904,22079,11/01/2024 12:00:00 AM,,,67
Canceled,PV24189515,1595000,,1954,1904,22079,09/12/2024 12:00:00 AM,,,5
Canceled,SB24197588,1650000,,1960,1815,12724,10/03/2024 12:00:00 AM,,,29
Canceled,PW24010134,1699000,,1963,2035,19723,01/17/2024 12:00:00 AM,,,62
Canceled,OC24203043,1700000,,1957,2369,24636,09/30/2024 12:00:00 AM,,,68
