2026-04-29T23:31:33.893186+00:00 start: 0 URLs already crawled (resume)
2026-04-29T23:31:33.899991+00:00 sitemap: 4140 lawn-garden URLs (no query) | todo: 4140
2026-04-30T00:15:54.784743+00:00 progress 2550/4140 | parsed=2458 skip=92 err=0 | 0.96/s | ETA 27.7min
2026-04-30T00:16:45.085449+00:00 progress 2600/4140 | parsed=2508 skip=92 err=0 | 0.96/s | ETA 26.8min
2026-04-30T00:17:35.260715+00:00 progress 2650/4140 | parsed=2558 skip=92 err=0 | 0.96/s | ETA 25.9min
2026-04-30T00:18:25.470984+00:00 progress 2700/4140 | parsed=2608 skip=92 err=0 | 0.96/s | ETA 25.0min
2026-04-30T00:19:15.648639+00:00 progress 2750/4140 | parsed=2658 skip=92 err=0 | 0.96/s | ETA 24.1min
2026-04-30T00:20:05.889961+00:00 progress 2800/4140 | parsed=2708 skip=92 err=0 | 0.96/s | ETA 23.2min
2026-04-30T00:21:07.349450+00:00 progress 2850/4140 | parsed=2758 skip=92 err=0 | 0.96/s | ETA 22.4min
2026-04-30T00:22:01.812464+00:00 progress 2900/4140 | parsed=2808 skip=92 err=0 | 0.96/s | ETA 21.6min
2026-04-30T00:22:51.779291+00:00 progress 2950/4140 | parsed=2858 skip=92 err=0 | 0.96/s | ETA 20.7min
2026-04-30T00:23:42.811866+00:00 progress 3000/4140 | parsed=2908 skip=92 err=0 | 0.96/s | ETA 19.8min
2026-04-30T00:24:32.811311+00:00 progress 3050/4140 | parsed=2958 skip=92 err=0 | 0.96/s | ETA 18.9min
2026-04-30T00:25:23.757903+00:00 progress 3100/4140 | parsed=3008 skip=92 err=0 | 0.96/s | ETA 18.1min
2026-04-30T00:26:16.920203+00:00 progress 3150/4140 | parsed=3058 skip=92 err=0 | 0.96/s | ETA 17.2min
2026-04-30T00:27:07.471102+00:00 progress 3200/4140 | parsed=3108 skip=92 err=0 | 0.96/s | ETA 16.3min
2026-04-30T00:27:57.707974+00:00 progress 3250/4140 | parsed=3155 skip=95 err=0 | 0.96/s | ETA 15.4min
2026-04-30T00:28:47.931522+00:00 progress 3300/4140 | parsed=3205 skip=95 err=0 | 0.96/s | ETA 14.6min
2026-04-30T00:29:40.745133+00:00 progress 3350/4140 | parsed=3255 skip=95 err=0 | 0.96/s | ETA 13.7min
2026-04-30T00:30:30.867100+00:00 progress 3400/4140 | parsed=3305 skip=95 err=0 | 0.96/s | ETA 12.8min
